name,tags
Empyrion - Galactic Survival,"Simulation,Co-op,Open World Survival Craft,Survival,Space,Building,Open World,Exploration,Space Sim,Voxel,Sandbox,Physics,Multiplayer,Singleplayer,Sci-fi,PvP,PvE,Strategy,Crafting,FPS"
Euro Truck Simulator 2 - Feldbinder Trailer Pack,"Simulation,Indie"
Deep Rock Galactic - MegaCorp Pack,"Action,Indie"
Espresso Tycoon,"Casual,Simulation,Building,Management,3D,Education,Strategy,Isometric,Character Customization,Cooking,Realistic,Sandbox,Singleplayer,Design & Illustration,Immersive Sim,Relaxing,Life Sim,Cute,Adventure,Indie"
Fear Therapy,"Horror,Multiplayer,Psychological Horror,Co-op,Early Access,Indie,Violent,First-Person,Demons,Survival Horror,Supernatural,PvE,Dark,Difficult,Psychological,PvP,Investigation,Thriller,Mystery,Realistic"
Half-Life 2: Episode Two,"FPS,Action,Sci-fi,Singleplayer,Shooter,Story Rich,First-Person,Classic,Adventure,Aliens,Atmospheric,Zombies,Silent Protagonist,Dystopian,Great Soundtrack,Post-apocalyptic,Episodic,Puzzle,Horror,Multiplayer"
Serial Cleaners,"Simulation,Stealth,Crime,Strategy,1990's,Noir,Puzzle,Top-Down,Tactical,Gore,Indie,2.5D,Singleplayer,Action,Blood,Comedy,Adventure,Dinosaurs,3D,Dark Humor"
Dead Cells: The Queen and the Sea,"Action,Indie,Roguelike,Roguelite,Pixel Graphics,Metroidvania,Action Roguelike"
Into the Radius VR,"VR,Survival,Atmospheric,Horror,Post-apocalyptic,Open World,Shooter,Singleplayer,Survival Horror,FPS,Exploration,Realistic,First-Person,Indie,Gun Customization,Tactical,Simulation,Physics,Action,Violent"
The Dark Pictures Anthology: Man of Medan,"Choices Matter,Horror,Co-op,Adventure,Multiplayer,Cinematic,Story Rich,Gore,Violent,Singleplayer,Atmospheric,Survival Horror,Quick-Time Events,Psychological Horror,Third Person,Local Multiplayer,Action,Nudity,Sexual Content,Female Protagonist"
Celeste,"Precision Platformer,Difficult,Pixel Graphics,Great Soundtrack,Platformer,Indie,2D Platformer,Female Protagonist,Singleplayer,2D,Story Rich,Adventure,Cute,Puzzle Platformer,Atmospheric,Action,LGBTQ+,Side Scroller,Retro,Exploration"
Bus World,"Automobile Sim,Simulation,Indie,Racing,Adventure,Early Access,Driving,Atmospheric,Singleplayer,Realistic,Open World,Casual,Sports,Sandbox,Exploration,Moddable,Difficult,Audio Production,Education,Relaxing"
Kingdom Eighties,"Singleplayer,Adventure,Sandbox,Fantasy,Colony Sim,Survival,Simulation,Base Building,City Builder,Indie,Procedural Generation,Difficult,Pixel Graphics,Economy,Sci-fi,Strategy,Action,Building,Tower Defense,Horses"
HighFleet,"Singleplayer,Indie,Strategy,Post-apocalyptic,Action Roguelike,Inventory Management,Tactical,Choices Matter,Strategy RPG,Action,Diplomacy,Exploration,Military,Nonlinear,Simulation,Building,Stylized,Physics,Adventure,Sci-fi"
Stronghold: Warlords,"City Builder,Real Time Tactics,Colony Sim,Building,Sandbox,Medieval,Economy,Military,Management,War,Base Building,Strategy,RTS,Real-Time,Historical,Isometric,Top-Down,Open World,Simulation,Resource Management"
IXION,"Space,City Builder,Strategy,Survival,Resource Management,Colony Sim,Base Building,Building,Simulation,Exploration,Choices Matter,Atmospheric,Economy,Singleplayer,Dark,Management,RTS,Difficult,Post-apocalyptic,Indie"
A Little to the Left,"Puzzle,Wholesome,Relaxing,Casual,Cute,Funny,2D,Colorful,Cats,Logic,Hand-drawn,Singleplayer,Indie,Cozy,Hidden Object,Linear,Family Friendly,Pixel Graphics,Multiplayer,Point & Click"
CODE VEIN,"Souls-like,Anime,Character Customization,Action RPG,JRPG,Co-op,Third Person,Action,Singleplayer,Difficult,RPG,Vampire,Multiplayer,Dark Fantasy,Post-apocalyptic,Online Co-Op,Hack and Slash,Violent,Adventure,Gore"
Ghost Exile,"Horror,Online Co-Op,Multiplayer,Co-op,Psychological Horror,Action,Perma Death,Choices Matter,First-Person,Early Access,Atmospheric,Indie,PvE,3D,Team-Based,Singleplayer,VR"
